,id,c_percent,n_percent,lat,lon,z,site,site_alt,site_alt_id,lower_bin,upper_bin,_x,_y,core,x,y
650,22-4-C,0.6391403333640298,0.608,32.4232110459958,-85.4158969346779,-12.5,21,21_C,C,-15.0,-10.0,5029.568026295779,-7017.288426230951,4,4529.568026295779,-6517.288426230951
651,22-4-D,0.6150840940348344,0.508,32.4232110459958,-85.4158969346779,-17.5,21,21_D,D,-20.0,-15.0,5029.568026295779,-7017.288426230951,4,4529.568026295779,-6517.288426230951
652,22-4-E,0.31727991473795286,0.246,32.4232110459958,-85.4158969346779,-22.5,21,21_E,E,-25.0,-20.0,5029.568026295779,-7017.288426230951,4,4529.568026295779,-6517.288426230951
653,22-4-F,0.18256155259703735,0.16,32.4232110459958,-85.4158969346779,-27.5,21,21_F,F,-30.0,-25.0,5029.568026295779,-7017.288426230951,4,4529.568026295779,-6517.288426230951
654,22-5-A,0.6391356267354658,0.818,32.4232110459958,-85.4158969346779,-2.5,21,21_A,A,-5.0,0.0,5029.568026295779,-7017.288426230951,5,4529.568026295779,-7517.288426230951
655,22-5-B,1.0344257971092559,1.016,32.4232110459958,-85.4158969346779,-7.5,21,21_B,B,-10.0,-5.0,5029.568026295779,-7017.288426230951,5,4529.568026295779,-7517.288426230951
656,22-5-C,0.7308150053200293,0.705,32.4232110459958,-85.4158969346779,-12.5,21,21_C,C,-15.0,-10.0,5029.568026295779,-7017.288426230951,5,4529.568026295779,-7517.288426230951
657,22-5-D,0.7658042022166223,0.698,32.4232110459958,-85.4158969346779,-17.5,21,21_D,D,-20.0,-15.0,5029.568026295779,-7017.288426230951,5,4529.568026295779,-7517.288426230951
658,22-5-E,0.5662464435005679,0.442,32.4232110459958,-85.4158969346779,-22.5,21,21_E,E,-25.0,-20.0,5029.568026295779,-7017.288426230951,5,4529.568026295779,-7517.288426230951
659,22-5-F,0.2602718167314379,0.209,32.4232110459958,-85.4158969346779,-27.5,21,21_F,F,-30.0,-25.0,5029.568026295779,-7017.288426230951,5,4529.568026295779,-7517.288426230951
660,23-1-A,0.41433544678569956,0.532,32.4225993082076,-85.4151207030682,-2.5,22,22_A,A,-5.0,0.0,-1754.2515011019514,-9966.54673491568,1,-1754.2515011019514,-9966.54673491568
661,23-1-B,0.2963715223307746,0.427,32.4225993082076,-85.4151207030682,-7.5,22,22_B,B,-10.0,-5.0,-1754.2515011019514,-9966.54673491568,1,-1754.2515011019514,-9966.54673491568
662,23-1-C,0.3466807740738196,0.362,32.4225993082076,-85.4151207030682,-12.5,22,22_C,C,-15.0,-10.0,-1754.2515011019514,-9966.54673491568,1,-1754.2515011019514,-9966.54673491568
663,23-1-D,0.24593552005815275,0.266,32.4225993082076,-85.4151207030682,-17.5,22,22_D,D,-20.0,-15.0,-1754.2515011019514,-9966.54673491568,1,-1754.2515011019514,-9966.54673491568
664,23-1-E,0.27543450604297226,0.255,32.4225993082076,-85.4151207030682,-22.5,22,22_E,E,-25.0,-20.0,-1754.2515011019514,-9966.54673491568,1,-1754.2515011019514,-9966.54673491568
665,23-1-F,0.26270006158684395,0.24,32.4225993082076,-85.4151207030682,-27.5,22,22_F,F,-30.0,-25.0,-1754.2515011019514,-9966.54673491568,1,-1754.2515011019514,-9966.54673491568
666,23-2-A,1.211454567701755,1.267,32.4225993082076,-85.4151207030682,-2.5,22,22_A,A,-5.0,0.0,-1754.2515011019514,-9966.54673491568,2,-1254.2515011019514,-9466.54673491568
667,23-2-B,0.7972744425867718,0.772,32.4225993082076,-85.4151207030682,-7.5,22,22_B,B,-10.0,-5.0,-1754.2515011019514,-9966.54673491568,2,-1254.2515011019514,-9466.54673491568
668,23-2-C,0.7549446572438165,0.711,32.4225993082076,-85.4151207030682,-12.5,22,22_C,C,-15.0,-10.0,-1754.2515011019514,-9966.54673491568,2,-1254.2515011019514,-9466.54673491568
669,23-2-D,0.7322233476008906,0.743,32.4225993082076,-85.4151207030682,-17.5,22,22_D,D,-20.0,-15.0,-1754.2515011019514,-9966.54673491568,2,-1254.2515011019514,-9466.54673491568
670,23-2-E,0.7034830050534454,0.615,32.4225993082076,-85.4151207030682,-22.5,22,22_E,E,-25.0,-20.0,-1754.2515011019514,-9966.54673491568,2,-1254.2515011019514,-9466.54673491568
671,23-2-F,0.3279144150642092,0.248,32.4225993082076,-85.4151207030682,-27.5,22,22_F,F,-30.0,-25.0,-1754.2515011019514,-9966.54673491568,2,-1254.2515011019514,-9466.54673491568
672,23-3-A,1.246203903233049,1.665,32.4225993082076,-85.4151207030682,-2.5,22,22_A,A,-5.0,0.0,-1754.2515011019514,-9966.54673491568,3,-1254.2515011019514,-10466.54673491568
673,23-3-B,0.9431668492836152,0.921,32.4225993082076,-85.4151207030682,-7.5,22,22_B,B,-10.0,-5.0,-1754.2515011019514,-9966.54673491568,3,-1254.2515011019514,-10466.54673491568
674,23-3-C,0.9915110615218565,0.881,32.4225993082076,-85.4151207030682,-12.5,22,22_C,C,-15.0,-10.0,-1754.2515011019514,-9966.54673491568,3,-1254.2515011019514,-10466.54673491568
675,23-3-D,0.7427066519010707,0.655,32.4225993082076,-85.4151207030682,-17.5,22,22_D,D,-20.0,-15.0,-1754.2515011019514,-9966.54673491568,3,-1254.2515011019514,-10466.54673491568
676,23-3-E,0.4502529823287803,0.381,32.4225993082076,-85.4151207030682,-22.5,22,22_E,E,-25.0,-20.0,-1754.2515011019514,-9966.54673491568,3,-1254.2515011019514,-10466.54673491568
677,23-3-F,0.2621826616793828,0.221,32.4225993082076,-85.4151207030682,-27.5,22,22_F,F,-30.0,-25.0,-1754.2515011019514,-9966.54673491568,3,-1254.2515011019514,-10466.54673491568
678,23-4-A,0.83987547717607,0.993,32.4225993082076,-85.4151207030682,-2.5,22,22_A,A,-5.0,0.0,-1754.2515011019514,-9966.54673491568,4,-2254.2515011019514,-9466.54673491568
679,23-4-B,0.40934387573631226,0.411,32.4225993082076,-85.4151207030682,-7.5,22,22_B,B,-10.0,-5.0,-1754.2515011019514,-9966.54673491568,4,-2254.2515011019514,-9466.54673491568
680,23-4-C,0.4803388962682734,0.446,32.4225993082076,-85.4151207030682,-12.5,22,22_C,C,-15.0,-10.0,-1754.2515011019514,-9966.54673491568,4,-2254.2515011019514,-9466.54673491568
681,23-4-D,0.4125576892112422,0.318,32.4225993082076,-85.4151207030682,-17.5,22,22_D,D,-20.0,-15.0,-1754.2515011019514,-9966.54673491568,4,-2254.2515011019514,-9466.54673491568
682,23-4-E,0.19390879902603486,0.179,32.4225993082076,-85.4151207030682,-22.5,22,22_E,E,-25.0,-20.0,-1754.2515011019514,-9966.54673491568,4,-2254.2515011019514,-9466.54673491568
683,23-4-F,0.18823647610693012,0.147,32.4225993082076,-85.4151207030682,-27.5,22,22_F,F,-30.0,-25.0,-1754.2515011019514,-9966.54673491568,4,-2254.2515011019514,-9466.54673491568
684,23-5-A,0.7726118118191457,0.796,32.4225993082076,-85.4151207030682,-2.5,22,22_A,A,-5.0,0.0,-1754.2515011019514,-9966.54673491568,5,-2254.2515011019514,-10466.54673491568
